City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
178,Kyenjojo,UG,2021-09-22 20:17:54,0.6328,30.6214,62.49,97,100,1.81
179,Ancud,CL,2021-09-22 20:17:54,-41.8697,-73.8203,57.42,84,99,15.23
180,Kwinana,AU,2021-09-22 20:17:54,-32.25,115.7667,52.93,75,0,10.58
181,Doha,QA,2021-09-22 20:16:25,25.2867,51.5333,89.58,48,0,4.61
182,Tura,IN,2021-09-22 20:17:55,25.5198,90.2201,73.02,94,79,2.17
183,Laurel,US,2021-09-22 20:17:55,39.0993,-76.8483,80.53,89,90,5.99
184,Popondetta,PG,2021-09-22 20:17:55,-8.7537,148.2534,72.16,99,100,0.51
185,Marawi,PH,2021-09-22 20:17:56,7.9986,124.2928,64.65,96,28,2.15
186,Tecpan,GT,2021-09-22 20:17:56,14.7623,-90.9947,70.56,57,22,7.81
187,Baft,IR,2021-09-22 20:17:56,29.234,56.6057,67.6,36,43,5.91
188,Fort Nelson,CA,2021-09-22 20:17:57,58.8053,-122.7002,49.59,53,75,21.85
189,Pemangkat,ID,2021-09-22 20:17:57,1.1667,108.9667,78.82,86,100,2.71
190,Saint George,US,2021-09-22 20:15:12,37.1041,-113.5841,95.47,14,1,1.99
191,Maarianhamina,AX,2021-09-22 20:15:19,60.0973,19.9348,53.46,82,90,17.27
192,Jumla,NP,2021-09-22 20:17:57,29.2747,82.1838,57.13,93,99,2.66
193,Ferme-Neuve,CA,2021-09-22 20:17:58,46.7001,-75.4493,51.58,98,100,7.56
194,Tasiilaq,GL,2021-09-22 20:17:58,65.6145,-37.6368,35.76,64,0,4.68
195,Mikhaylovka,RU,2021-09-22 20:17:58,50.06,43.2379,48.4,69,63,3.36
196,Sur,OM,2021-09-22 20:17:59,22.5667,59.5289,87.04,60,57,7.11
197,Praia,CV,2021-09-22 20:15:13,14.9215,-23.5087,81.14,74,0,10.36
198,Provideniya,RU,2021-09-22 20:17:59,64.3833,-173.3,30.31,59,0,4.47
199,Rio Grande,BR,2021-09-22 20:14:36,-32.035,-52.0986,64.51,67,97,13.73
200,Beringovskiy,RU,2021-09-22 20:17:59,63.05,179.3167,36.0,66,100,6.26
201,Roccastrada,IT,2021-09-22 20:18:00,43.0099,11.1665,64.6,61,20,6.06
202,Aklavik,CA,2021-09-22 20:18:00,68.2191,-135.0107,38.12,77,100,13.51
203,Raudeberg,NO,2021-09-22 20:18:00,61.9875,5.1352,52.2,78,100,5.01
204,Lasa,IT,2021-09-22 20:18:01,46.6166,10.7002,54.63,67,82,4.85
205,Alyangula,AU,2021-09-22 20:18:01,-13.8483,136.4192,74.05,47,8,16.49
206,Lorengau,PG,2021-09-22 20:18:02,-2.0226,147.2712,79.77,80,97,5.1
207,Luderitz,NA,2021-09-22 20:18:02,-26.6481,15.1594,62.33,57,0,2.51
208,Bagdarin,RU,2021-09-22 20:18:02,54.4333,113.6,36.55,77,100,4.9
209,Saint-Pierre,RE,2021-09-22 20:18:02,-21.3393,55.4781,67.68,68,0,5.75
210,Waingapu,ID,2021-09-22 20:18:03,-9.6567,120.2641,77.07,84,40,8.81
211,Vestmanna,FO,2021-09-22 20:18:03,62.1564,-7.1664,47.32,87,90,16.11
212,Tottori,JP,2021-09-22 20:13:51,35.5,134.2333,67.82,79,0,7.38
213,Mitu,CO,2021-09-22 20:15:36,1.1983,-70.1733,80.28,91,100,2.1
214,Cherskiy,RU,2021-09-22 20:18:04,68.75,161.3,29.53,58,100,5.06
215,Half Moon Bay,US,2021-09-22 20:18:04,37.4636,-122.4286,92.91,62,1,8.05
216,Biak,ID,2021-09-22 20:18:04,-0.9131,122.8766,73.63,90,100,5.95
217,Mut,TR,2021-09-22 20:18:05,36.6439,33.4389,70.29,48,0,7.9
218,Diu,IN,2021-09-22 20:18:05,20.7141,70.9822,80.26,79,97,10.31
219,Puerto Escondido,MX,2021-09-22 20:18:05,15.85,-97.0667,88.63,55,75,6.91
220,Port Moresby,PG,2021-09-22 20:16:19,-9.4431,147.1797,74.01,89,99,11.86
